sequence_id,cluster,predicted_species,confidence
XR_006760234.1,4,Salmo_salar,0.9985529780387878
XR_006759914.1,4,Salmo_salar,0.9985529780387878
XR_006759579.1,2,Salmo_salar,0.999915361404419
XR_006759069.1,4,Salmo_salar,0.9985529780387878
XR_006757478.1,4,Salmo_salar,0.9985529780387878
XR_006756869.1,4,Salmo_salar,0.9985529780387878
XR_006767668.1,5,Unknown,0.0
XR_006767581.1,4,Salmo_salar,0.9985529780387878
XR_006767580.1,4,Salmo_salar,0.9985529780387878
XR_006763448.1,4,Salmo_salar,0.9985529780387878
HQ260441.1,0,Salmo_salar,0.9991437196731567
HQ260440.1,0,Salmo_salar,0.9991437196731567
FJ710886.1,4,Salmo_salar,0.9985529780387878
AJ427629.1,4,Salmo_salar,0.9985529780387878
L24489.1,4,Salmo_salar,0.9985529780387878
L78854.1,4,Salmo_salar,0.9985529780387878
EF035091.1,4,Salmo_salar,0.9985529780387878
EF035090.1,4,Salmo_salar,0.9985529780387878
AY695798.2,3,Mytilus_edulis,0.9995068311691284
KJ193842.1,1,Mytilus_edulis,0.9993927478790283
KC429331.1,4,Salmo_salar,0.9985529780387878
DQ640512.1,4,Salmo_salar,0.9985529780387878
DQ640511.1,4,Salmo_salar,0.9985529780387878
AY527062.1,4,Salmo_salar,0.9985529780387878
XR_009517937.1,4,Salmo_salar,0.9985529780387878
XR_009518183.1,4,Salmo_salar,0.9985529780387878
XR_009518176.1,4,Salmo_salar,0.9985529780387878
